Event: connection   | Time: 2025-04-22T02:18:05.097Z | IP: ::1             | Socket: gmA_x3tPBQ1iSNz-AAAB | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
Event: connection   | Time: 2025-04-22T02:18:07.307Z | IP: ::1             | Socket: p7xw6bmRC_XqavCyAAAD | UA: Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
Event: connection   | Time: 2025-04-22T02:18:10.080Z | IP: ::1             | Socket: UmaMUQYCHVkBEjEbAAAF | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
Event: connection   | Time: 2025-04-22T02:18:15.091Z | IP: ::1             | Socket: 0gjzmRFwFh1ctvnKAAAB | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
Event: connection   | Time: 2025-04-22T02:18:15.601Z | IP: ::1             | Socket: rvMP9_I50N3AJEzqAAAD | UA: Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
Event: connection   | Time: 2025-04-22T02:18:16.081Z | IP: ::1             | Socket: KsX6SbwULNjOnsj7AAAF | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
Event: connection   | Time: 2025-04-22T02:19:15.469Z | IP: ::1             | Socket: -1qmpXSZgyao0UPLAAAB | UA: Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
Event: connection   | Time: 2025-04-22T02:19:16.079Z | IP: ::1             | Socket: XLFS1Ktsv96I56swAAAE | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
Event: connection   | Time: 2025-04-22T02:19:16.081Z | IP: ::1             | Socket: OZ12vuvKdV-1GaguAAAF | UA: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36
